Politician,Company,Published,Traded,Owner,Type,Size,Price of Stock
Michael McCaulRepublicanHouseTX,Alphabet IncGOOGL:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$166.16
Michael McCaulRepublicanHouseTX,Beacon Roofing Supply IncBECN:US,18 Sept2024,5 Aug2024,Spouse,sell,15K–50K,$80.79
Michael McCaulRepublicanHouseTX,Apple IncAAPL:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$227.18
Michael McCaulRepublicanHouseTX,iShares Core S&P Small-Cap ETFIJR:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$116.41
Michael McCaulRepublicanHouseTX,Schwab (Charles) CorpSCHW:US,18 Sept2024,9 Aug2024,Spouse,sell,15K–50K,$62.41
Michael McCaulRepublicanHouseTX,Schwab (Charles) CorpSCHW:US,18 Sept2024,2 Aug2024,Spouse,sell,15K–50K,$63.39
Michael McCaulRepublicanHouseTX,Prosus NVPROSY:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$7.39
Michael McCaulRepublicanHouseTX,Wells Fargo & CoWFC:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$56.72
Michael McCaulRepublicanHouseTX,DIMENSIONAL US SML CAP ETFDFAS:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$64.23
Michael McCaulRepublicanHouseTX,Meta Platforms IncMETA:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$521.12
Michael McCaulRepublicanHouseTX,Microsoft CorpMSFT:US,18 Sept2024,26 Aug2024,Spouse,sell,15K–50K,$413.49
Michael McCaulRepublicanHouseTX,Visa IncV:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$268.21
Michael McCaulRepublicanHouseTX,NVIDIA CorporationNVDA:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$126.46
Michael McCaulRepublicanHouseTX,ATKORE INCATKR:US,18 Sept2024,16 Aug2024,Spouse,sell,50K–100K,$95.59
Michael McCaulRepublicanHouseTX,Alcoa CorpAA:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$34.56
Michael McCaulRepublicanHouseTX,Workday IncWDAY:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$260.37
Michael McCaulRepublicanHouseTX,Woodward IncWWD:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$162.65
Michael McCaulRepublicanHouseTX,Capital One Financial CorpCOF:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$142.52
Michael McCaulRepublicanHouseTX,Comcast CorpCMCSA:US,18 Sept2024,28 Aug2024,Spouse,sell,50K–100K,$39.93
Michael McCaulRepublicanHouseTX,STATE OF WEST VIRGINIAN/A,18 Sept2024,29 Aug2024,Spouse,sell,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Bayer AGBAYRY:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$7.70
Michael McCaulRepublicanHouseTX,Humana IncHUM:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$353.00
Michael McCaulRepublicanHouseTX,GE VERNOVA INCGEV:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$182.13
Michael McCaulRepublicanHouseTX,ConocoPhillipsCOP:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$113.56
Michael McCaulRepublicanHouseTX,Taiwan Semiconductor Manufacturing Co LtdTSM:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$169.07
Michael McCaulRepublicanHouseTX,Unitedhealth Group IncUNH:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$587.13
Michael McCaulRepublicanHouseTX,Entegris IncENTG:US,18 Sept2024,8 Aug2024,Spouse,sell,50K–100K,$106.49
Michael McCaulRepublicanHouseTX,Schwab (Charles) CorpSCHW:US,18 Sept2024,8 Aug2024,Spouse,sell,50K–100K,$62.78
Michael McCaulRepublicanHouseTX,FABRINETFN:US,18 Sept2024,27 Aug2024,Spouse,sell,50K–100K,$246.34
Michael McCaulRepublicanHouseTX,Entegris IncENTG:US,18 Sept2024,2 Aug2024,Spouse,sell,50K–100K,$102.14
Michael McCaulRepublicanHouseTX,Occidental Petroleum CorpOXY:US,18 Sept2024,26 Aug2024,Spouse,sell,50K–100K,$57.37
Michael McCaulRepublicanHouseTX,Elevance Health IncELV:US,18 Sept2024,25 Aug2024,Spouse,sell,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Aon PLCAON:US,18 Sept2024,26 Aug2024,Spouse,sell,100K–250K,$337.73
Michael McCaulRepublicanHouseTX,ENERGY NORTHWESTN/A,18 Sept2024,13 Aug2024,Spouse,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,AerCap Holdings NVAER:US,18 Sept2024,26 Aug2024,Spouse,sell,100K–250K,$94.73
Michael McCaulRepublicanHouseTX,CITY OF LEANDER TEXASN/A,18 Sept2024,26 Aug2024,Spouse,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,GRAPEVINE COLLEYVILLE INDEPENDENT SCHOOL DISTRICTN/A,18 Sept2024,16 Aug2024,Spouse,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,SAP SESAP:US,18 Sept2024,15 Aug2024,Spouse,sell,100K–250K,$214.94
Michael McCaulRepublicanHouseTX,Charter Communications IncCHTR:US,18 Sept2024,26 Aug2024,Spouse,sell,100K–250K,$355.37
Michael McCaulRepublicanHouseTX,Amazon.com IncAMZN:US,18 Sept2024,26 Aug2024,Spouse,sell,100K–250K,$175.50
Michael McCaulRepublicanHouseTX,Monster Beverage CorpMNST:US,18 Sept2024,9 Aug2024,Spouse,sell,100K–250K,$46.06
Michael McCaulRepublicanHouseTX,FORT BEND INDEPENDENT SCHOOL DISTRICTN/A,18 Sept2024,1 Aug2024,Spouse,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,Shell PLCSHEL:US,18 Sept2024,26 Aug2024,Spouse,sell,250K–500K,$73.07
Michael McCaulRepublicanHouseTX,Vanguard S&P 500 ETFVOO:US,18 Sept2024,26 Aug2024,Spouse,sell,250K–500K,$515.39
Michael McCaulRepublicanHouseTX,iShares Core S&P Small-Cap ETFIJR:US,18 Sept2024,26 Aug2024,Spouse,sell,250K–500K,$116.41
Michael McCaulRepublicanHouseTX,Vanguard S&P 500 ETFVOO:US,18 Sept2024,16 Sept2024,Spouse,sell,500K–1M,$517.35
Michael McCaulRepublicanHouseTX,GLOBAL PAYMENTS IncGPN:US,18 Sept2024,16 Aug2024,Spouse,sell,100K–250K,$108.83
Michael McCaulRepublicanHouseTX,LPL Financial Holdings IncLPLA:US,18 Sept2024,12 Aug2024,Spouse,sell,100K–250K,$200.00
Michael McCaulRepublicanHouseTX,CVS Health CorpCVS:US,18 Sept2024,19 Aug2024,Spouse,sell,100K–250K,$58.80
Michael McCaulRepublicanHouseTX,Dow IncDOW:US,18 Sept2024,19 Aug2024,Spouse,sell,50K–100K,$53.65
Michael McCaulRepublicanHouseTX,Tapestry IncTPR:US,18 Sept2024,19 Aug2024,Spouse,sell,50K–100K,$40.58
Michael McCaulRepublicanHouseTX,Dollar Tree IncDLTR:US,18 Sept2024,2 Aug2024,Spouse,sell,50K–100K,$99.53
Michael McCaulRepublicanHouseTX,Merck & Co IncMRK:US,18 Sept2024,9 Aug2024,Spouse,sell,50K–100K,$114.55
Michael McCaulRepublicanHouseTX,Chevron CorpCVX:US,18 Sept2024,19 Aug2024,Spouse,sell,50K–100K,$146.83
Michael McCaulRepublicanHouseTX,Vishay Intertechnology IncVSH:US,18 Sept2024,20 Aug2024,Spouse,sell,15K–50K,$20.10
Michael McCaulRepublicanHouseTX,Vishay Intertechnology IncVSH:US,18 Sept2024,20 Aug2024,Spouse,sell,15K–50K,$20.10
Michael McCaulRepublicanHouseTX,Stifel Financial CorpSF:US,18 Sept2024,2 Aug2024,Spouse,buy,1K–15K,$81.84
Michael McCaulRepublicanHouseTX,American International Group IncAIG:US,18 Sept2024,19 Aug2024,Spouse,buy,50K–100K,$74.43
Michael McCaulRepublicanHouseTX,Stifel Financial CorpSF:US,18 Sept2024,16 Aug2024,Spouse,buy,100K–250K,$85.57
Michael McCaulRepublicanHouseTX,Stifel Financial CorpSF:US,18 Sept2024,16 Aug2024,Spouse,buy,100K–250K,$85.57
Michael McCaulRepublicanHouseTX,Fidelity National Information Services IncFIS:US,18 Sept2024,6 Aug2024,Spouse,buy,100K–250K,$76.54
Michael McCaulRepublicanHouseTX,Stifel Financial CorpSF:US,18 Sept2024,19 Aug2024,Spouse,buy,100K–250K,$85.60
Michael McCaulRepublicanHouseTX,Intel CorpINTC:US,18 Sept2024,1 Aug2024,Spouse,buy,250K–500K,$29.05
Michael McCaulRepublicanHouseTX,VANGUARD LONG TERM TAX EXEMPT FUNDVWLUX:US,18 Sept2024,27 Aug2024,Spouse,sell,1K–15K,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,29 Aug2024,Child,sell,500K–1M,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,9 Aug2024,Child,sell,250K–500K,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,13 Aug2024,Child,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,COUNTY OF MIAMI DADEN/A,18 Sept2024,13 Aug2024,Child,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,27 Aug2024,Child,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,BOARD OF PUBLIC BUILDINGS OF STATE OF MISSOURIN/A,18 Sept2024,19 Aug2024,Child,sell,100K–250K,N/A
Michael McCaulRepublicanHouseTX,London Stock Exchange Group PLCLDNXF:US,18 Sept2024,21 Aug2024,Child,buy,100K–250K,$131.17
Michael McCaulRepublicanHouseTX,CITY OF WILMINGTON DELEWAREN/A,18 Sept2024,19 Aug2024,Child,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,STATE OF TEXASN/A,18 Sept2024,28 Aug2024,Child,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,CHARLESTON COUNTY SCHOOL DISTRICT SOUTH CAROLINAN/A,18 Sept2024,6 Aug2024,Child,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,MAINE MUNICIPAL BOND BANKN/A,18 Sept2024,2 Aug2024,Child,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Meta Platforms IncMETA:US,18 Sept2024,19 Aug2024,Child,buy,50K–100K,$529.28
Michael McCaulRepublicanHouseTX,CITY OF MINNEAPOLIS MN/ST PAUL HOUSING & REDEVELOPMENT AUTHORITY (ALLINA HEALTH SYSTEM)N/A,18 Sept2024,9 Aug2024,Child,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Abbott LaboratoriesABT:US,18 Sept2024,8 Aug2024,Child,buy,50K–100K,$109.76
Michael McCaulRepublicanHouseTX,Synopsys IncSNPS:US,18 Sept2024,8 Aug2024,Child,buy,50K–100K,$515.03
Michael McCaulRepublicanHouseTX,Cadence Design Systems IncCDNS:US,18 Sept2024,16 Aug2024,Child,buy,50K–100K,$281.00
Michael McCaulRepublicanHouseTX,STATE OF WEST VIRGINIAN/A,18 Sept2024,2 Aug2024,Child,buy,15K–50K,N/A
Michael McCaulRepublicanHouseTX,Bayer AGBAYRY:US,18 Sept2024,9 Aug2024,Child,buy,15K–50K,$7.09
Michael McCaulRepublicanHouseTX,Novo Nordisk A/SNVO:US,18 Sept2024,7 Aug2024,Child,buy,15K–50K,$119.23
