Politician,Company,Published,Traded,Owner,Type,Size,Price of Stock
Rudy YakymRepublicanHouseIN,US TREASURY BILLSN/A,27 Sept2024,26 Sept2024,Undisclosed,buy,1K–15K,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,5 Feb2024,Undisclosed,sell,1M–5M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,13 Feb2024,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,27 Feb2024,Undisclosed,sell,1M–5M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,6 Mar2024,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,6 Mar2024,Undisclosed,sell,1M–5M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,14 Mar2024,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,14 Mar2024,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,24 Jan2024,Undisclosed,sell,1M–5M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,20 May2024,Undisclosed,sell,1M–5M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,5 Aug2024,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,5 Jun2024,Undisclosed,sell,1M–5M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,27 Sept2024,6 Mar2024,Undisclosed,sell,5M–25M,N/A
Morgan McGarveyDemocratHouseKY,Apple IncAAPL:US,26 Sept2024,13 Aug2024,Spouse,buy,1K–15K,$221.27
Morgan McGarveyDemocratHouseKY,Apple IncAAPL:US,26 Sept2024,19 Aug2024,Spouse,sell,1K–15K,$225.89
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,9 Feb2023,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,23 Feb2023,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,10 Mar2023,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,15 Mar2023,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,24 Mar2023,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,2 May2023,Undisclosed,sell,5M–25M,N/A
Darrell IssaRepublicanHouseCA,US TREASURY BILLSN/A,26 Sept2024,2 May2023,Undisclosed,sell,5M–25M,N/A
Bill KeatingDemocratHouseMA,Bank of America CorpBAC:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,Becton Dickinson and CoBDX:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,Caterpillar IncCAT:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,$335.00
Bill KeatingDemocratHouseMA,Comcast CorpCMCSA:US,25 Sept2024,11 Sept2024,Undisclosed,sell,15K–50K,N/A
Bill KeatingDemocratHouseMA,Elevance Health IncELV:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,General Motors CoGM:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,JPMorgan Chase & CoJPM:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,Lowe's Cos IncLOW:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,Meta Platforms IncMETA:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,Microsoft CorpMSFT:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,NXP Semiconductors NVNXPI:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,$230.87
Bill KeatingDemocratHouseMA,PepsiCo IncPEP:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,T-Mobile US IncTMUS:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,Union Pacific CorpUNP:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Bill KeatingDemocratHouseMA,US TREASURY NOTEN/A,25 Sept2024,11 Sept2024,Undisclosed,sell,15K–50K,N/A
Bill KeatingDemocratHouseMA,Verizon Communications IncVZ:US,25 Sept2024,11 Sept2024,Undisclosed,sell,1K–15K,N/A
Michael BurgessRepublicanHouseTX,Illumina IncILMN:US,25 Sept2024,3 Sept2024,Spouse,sell,15K–50K,$130.26
Greg LandsmanDemocratHouseOH,Adobe IncADBE:US,24 Sept2024,14 Aug2024,Spouse,sell,15K–50K,$539.79
Greg LandsmanDemocratHouseOH,Amazon.com IncAMZN:US,24 Sept2024,21 Aug2024,Joint,sell,15K–50K,$180.11
Greg LandsmanDemocratHouseOH,Arista Networks IncANET:US,24 Sept2024,14 Aug2024,Spouse,buy,1K–15K,$348.65
Greg LandsmanDemocratHouseOH,Arista Networks IncANET:US,24 Sept2024,21 Aug2024,Joint,buy,15K–50K,$355.89
Greg LandsmanDemocratHouseOH,Ulta Beauty IncULTA:US,24 Sept2024,14 Aug2024,Spouse,sell,1K–15K,$329.05
Jonathan JacksonDemocratHouseIL,Lam Research CorpLRCX:US,23 Sept2024,26 Aug2024,Joint,sell,15K–50K,$818.91
Jonathan JacksonDemocratHouseIL,Simon Property Group IncSPG:US,23 Sept2024,26 Aug2024,Joint,buy,15K–50K,$167.36
Thomas Kean JrRepublicanHouseNJ,Fortive CorpFTV:US,23 Sept2024,2 Aug2024,Undisclosed,buy,1K–15K,$68.44
Marjorie Taylor GreeneRepublicanHouseGA,Alphabet IncGOOGL:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$164.64
Marjorie Taylor GreeneRepublicanHouseGA,Berkshire Hathaway IncBRK/B:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$455.31
Marjorie Taylor GreeneRepublicanHouseGA,Blackstone Group IncBX:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$158.12
Marjorie Taylor GreeneRepublicanHouseGA,Cardinal Health IncCAH:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$111.84
Marjorie Taylor GreeneRepublicanHouseGA,CrowdStrike Holdings IncCRWD:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$299.85
Marjorie Taylor GreeneRepublicanHouseGA,Intel CorpINTC:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$21.84
Marjorie Taylor GreeneRepublicanHouseGA,Lam Research CorpLRCX:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$773.19
Marjorie Taylor GreeneRepublicanHouseGA,Microsoft CorpMSFT:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$435.27
Marjorie Taylor GreeneRepublicanHouseGA,Southern Copper CorpSCCO:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$103.60
Marjorie Taylor GreeneRepublicanHouseGA,United Parcel Service IncUPS:US,23 Sept2024,20 Sept2024,Undisclosed,buy,1K–15K,$128.60
Rick AllenRepublicanHouseGA,DEERE & COMPANYDE:US,23 Sept2024,14 Aug2024,Spouse,sell,1K–15K,$351.28
Rick AllenRepublicanHouseGA,US TREASURY BILLSN/A,23 Sept2024,26 Aug2024,Undisclosed,sell,50K–100K,N/A
Markwayne MullinRepublicanSenateOK,Edwards Lifesciences CorpEW:US,20 Sept2024,20 Aug2024,Joint,sell,15K–50K,$69.38
Markwayne MullinRepublicanSenateOK,Iqvia Holdings IncIQV:US,20 Sept2024,20 Aug2024,Joint,buy,15K–50K,$246.94
Markwayne MullinRepublicanSenateOK,Starbucks CorpSBUX:US,20 Sept2024,20 Aug2024,Joint,sell,15K–50K,$93.01
Markwayne MullinRepublicanSenateOK,The TJX Companies IncTJX:US,20 Sept2024,20 Aug2024,Joint,buy,15K–50K,$113.31
John HickenlooperDemocratSenateCO,Liberty Media Corp Braves GroupBATRA:US,19 Sept2024,30 Aug2024,Spouse,sell,50K–100K,$42.88
John HickenlooperDemocratSenateCO,Liberty Media Corp Braves GroupBATRA:US,19 Sept2024,28 Aug2024,Spouse,sell,250K–500K,$43.97
John HickenlooperDemocratSenateCO,Liberty Media Corp Braves GroupBATRA:US,19 Sept2024,28 Aug2024,Spouse,buy,100K–250K,$43.97
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,27 Aug2024,Spouse,buy,1M–5M,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,29 Aug2024,Spouse,buy,250K–500K,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,9 Aug2024,Spouse,buy,250K–500K,N/A
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,27 Aug2024,Spouse,buy,250K–500K,N/A
Michael McCaulRepublicanHouseTX,COUNTY OF MIAMI DADEN/A,18 Sept2024,13 Aug2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,BOARD OF PUBLIC BUILDINGS OF STATE OF MISSOURIN/A,18 Sept2024,19 Aug2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,CITY OF WILMINGTON DELEWAREN/A,18 Sept2024,21 Aug2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,London Stock Exchange Group PLCLDNXF:US,18 Sept2024,21 Aug2024,Spouse,buy,100K–250K,$131.17
Michael McCaulRepublicanHouseTX,STATE OF TEXASN/A,18 Sept2024,19 Aug2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,CHARLESTON COUNTY SCHOOL DISTRICT SOUTH CAROLINAN/A,18 Sept2024,28 Aug2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,MAINE MUNICIPAL BOND BANKN/A,18 Sept2024,6 Aug2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,Meta Platforms IncMETA:US,18 Sept2024,2 Aug2024,Spouse,buy,100K–250K,$488.14
Michael McCaulRepublicanHouseTX,CITY OF MINNEAPOLIS MN/ST PAUL HOUSING & REDEVELOPMENT AUTHORITY (ALLINA HEALTH SYSTEM)N/A,18 Sept2024,19 Aug2024,Spouse,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Abbott LaboratoriesABT:US,18 Sept2024,9 Aug2024,Spouse,buy,50K–100K,$108.71
Michael McCaulRepublicanHouseTX,Synopsys IncSNPS:US,18 Sept2024,8 Aug2024,Spouse,buy,50K–100K,$515.03
Michael McCaulRepublicanHouseTX,Cadence Design Systems IncCDNS:US,18 Sept2024,8 Aug2024,Spouse,buy,50K–100K,$268.68
Michael McCaulRepublicanHouseTX,STATE OF WEST VIRGINIAN/A,18 Sept2024,16 Aug2024,Spouse,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Novo Nordisk A/SNVO:US,18 Sept2024,9 Aug2024,Spouse,buy,15K–50K,$133.47
Michael McCaulRepublicanHouseTX,Bayer AGBAYRY:US,18 Sept2024,2 Aug2024,Spouse,buy,15K–50K,$7.47
Michael McCaulRepublicanHouseTX,VANGUARD FEDERAL MONEY MARKET FUNDVMFXX:US,18 Sept2024,27 Aug2024,Spouse,buy,15K–50K,N/A
Michael McCaulRepublicanHouseTX,Woodward IncWWD:US,18 Sept2024,7 Aug2024,Spouse,buy,15K–50K,$152.98
